"","gains_losses","value","flux","case"
"60","south_extwalls_lwinternal_gain",28276.9866714553,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"61","north_extwalls_lwinternal_gain",12900.4365176869,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"62","west_extwalls_lwinternal_gain",39887.3795373735,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"63","east_extwalls_lwinternal_gain",11071.2701457761,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"64","none_roof_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"65","none_floor_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"66","none_intwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"67","south_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"68","north_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"69","west_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"70","east_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_in1_1.csv"
"71","none_roof_lwsurfaces_gain",161608.005169346,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"72","none_floor_lwsurfaces_gain",875066.014655202,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"73","none_intwalls_lwsurfaces_gain",275612.272663508,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"74","south_extwalls_lwsurfaces_gain",458611.68671241,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"75","north_extwalls_lwsurfaces_gain",129656.890392387,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"76","west_extwalls_lwsurfaces_gain",435341.051301369,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"77","east_extwalls_lwsurfaces_gain",111549.601224086,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"78","none_roof_lwsurfaces_loss",-1062379.09490994,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"79","none_floor_lwsurfaces_loss",-616567.394825188,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"80","none_intwalls_lwsurfaces_loss",-621138.173578182,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"81","south_extwalls_lwsurfaces_loss",-8369.02968593053,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"82","north_extwalls_lwsurfaces_loss",-140545.013241962,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"83","west_extwalls_lwsurfaces_loss",-337875.052718801,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"84","east_extwalls_lwsurfaces_loss",-92020.218333761,"LW. Surfaces","U001_Caso01_1a7_ac_in1_1.csv"
"85","none_roof_convection_gain",42057.9636451438,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"86","none_floor_convection_gain",34592.8533903395,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"87","none_intwalls_convection_gain",38991.687566708,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"88","south_extwalls_convection_gain",92801.6303502638,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"89","north_extwalls_convection_gain",28305.4798374493,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"90","west_extwalls_convection_gain",95285.978035033,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"91","east_extwalls_convection_gain",25166.4464975464,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"92","none_roof_convection_loss",-465607.579026394,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"93","none_floor_convection_loss",-427535.806580395,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"94","none_intwalls_convection_loss",-604696.340789054,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"95","south_extwalls_convection_loss",-115625.021615417,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"96","north_extwalls_convection_loss",-120233.476002437,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"97","west_extwalls_convection_loss",-363572.706228398,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"98","east_extwalls_convection_loss",-82108.5242906359,"Convection","U001_Caso01_1a7_ac_nbr_1.csv"
"99","none_roof_conduction_gain",1173276.676607,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"100","none_floor_conduction_gain",711230.269215299,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"101","none_intwalls_conduction_gain",851756.223126801,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"102","south_extwalls_conduction_gain",46647.1373800993,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"103","north_extwalls_conduction_gain",200144.293106698,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"104","west_extwalls_conduction_gain",601082.787308473,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"105","east_extwalls_conduction_gain",113879.284094503,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"106","none_roof_conduction_loss",-301798.162315895,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"107","none_floor_conduction_loss",-1027087.94397738,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"108","none_intwalls_conduction_loss",-465683.021297564,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"109","south_extwalls_conduction_loss",-609032.839802629,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"110","north_extwalls_conduction_loss",-169482.899249116,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"111","west_extwalls_conduction_loss",-632734.175711194,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"112","east_extwalls_conduction_loss",-148069.052742544,"Conduction","U001_Caso01_1a7_ac_nbr_1.csv"
"113","none_roof_solarrad_gain",346678.718461978,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"114","none_floor_solarrad_gain",382416.234208216,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"115","none_intwalls_solarrad_gain",402811.087592341,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"116","south_extwalls_solarrad_gain",102302.893921924,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"117","north_extwalls_solarrad_gain",54098.7199253114,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"118","west_extwalls_solarrad_gain",156428.801951552,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"119","east_extwalls_solarrad_gain",56655.1040456787,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"120","none_roof_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"121","none_floor_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"122","none_intwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"123","south_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"124","north_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"125","west_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"126","east_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_nbr_1.csv"
"127","none_roof_swlights_gain",11352.5822768654,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"128","none_floor_swlights_gain",11352.5822768654,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"129","none_intwalls_swlights_gain",13191.6830168069,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"130","south_extwalls_swlights_gain",4512.65754759836,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"131","north_extwalls_swlights_gain",1916.34360676281,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"132","west_extwalls_swlights_gain",6365.53273566987,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
