"","gains_losses","value","flux","case"
"250","north_extwalls_lwsurfaces_loss",-142845.629344647,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"251","west_extwalls_lwsurfaces_loss",-347749.447709301,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"252","east_extwalls_lwsurfaces_loss",-93873.5904460806,"LW. Surfaces","U001_Caso01_1a7_hi_in1_1.csv"
"253","none_roof_convection_gain",33891.1998818637,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"254","none_floor_convection_gain",97757.5014574463,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"255","none_intwalls_convection_gain",81788.7293799684,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"256","south_extwalls_convection_gain",83664.6447288541,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"257","north_extwalls_convection_gain",19444.9218558766,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"258","west_extwalls_convection_gain",87176.7489174768,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"259","east_extwalls_convection_gain",15858.3632122668,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"260","none_roof_convection_loss",-323307.483435092,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"261","none_floor_convection_loss",-359619.128979344,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"262","none_intwalls_convection_loss",-450835.541917983,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"263","south_extwalls_convection_loss",-43351.9304799594,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"264","north_extwalls_convection_loss",-77011.4040119992,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"265","west_extwalls_convection_loss",-230394.514314779,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"266","east_extwalls_convection_loss",-47590.8856258856,"Convection","U001_Caso01_1a7_vn_nbr_1.csv"
"267","none_roof_conduction_gain",1069827.96110139,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"268","none_floor_conduction_gain",784166.128518555,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"269","none_intwalls_conduction_gain",835597.408796243,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"270","south_extwalls_conduction_gain",8155.24077960115,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"271","north_extwalls_conduction_gain",174934.186743378,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"272","west_extwalls_conduction_gain",483953.653827419,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"273","east_extwalls_conduction_gain",96427.3655521054,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"274","none_roof_conduction_loss",-266289.986405066,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"275","none_floor_conduction_loss",-1330873.7494669,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"276","none_intwalls_conduction_loss",-662656.761981346,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"277","south_extwalls_conduction_loss",-621336.684884521,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"278","north_extwalls_conduction_loss",-166244.442569705,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"279","west_extwalls_conduction_loss",-604048.590721388,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"280","east_extwalls_conduction_loss",-147844.442158096,"Conduction","U001_Caso01_1a7_vn_nbr_1.csv"
"281","none_roof_solarrad_gain",346678.718461978,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"282","none_floor_solarrad_gain",382416.234208216,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"283","none_intwalls_solarrad_gain",402811.087592341,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"284","south_extwalls_solarrad_gain",102302.893921924,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"285","north_extwalls_solarrad_gain",54098.7199253114,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"286","west_extwalls_solarrad_gain",156428.801951552,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"287","east_extwalls_solarrad_gain",56655.1040456787,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"288","none_roof_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"289","none_floor_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"290","none_intwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"291","south_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"292","north_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"293","west_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"294","east_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_vn_nbr_1.csv"
"295","none_roof_swlights_gain",11352.5822768654,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"296","none_floor_swlights_gain",11352.5822768654,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"297","none_intwalls_swlights_gain",13191.6830168069,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"298","south_extwalls_swlights_gain",4512.65754759836,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"299","north_extwalls_swlights_gain",1916.34360676281,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"300","west_extwalls_swlights_gain",6365.53273566987,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"301","east_extwalls_swlights_gain",1624.43126370013,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"302","none_roof_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"303","none_floor_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"304","none_intwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"305","south_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"306","north_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"307","west_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"308","east_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_vn_nbr_1.csv"
"309","none_roof_lwinternal_gain",79234.7706363457,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"310","none_floor_lwinternal_gain",79234.7706363457,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"311","none_intwalls_lwinternal_gain",92070.6807185261,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"312","south_extwalls_lwinternal_gain",27151.6067677164,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"313","north_extwalls_lwinternal_gain",12387.0192934563,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"314","west_extwalls_lwinternal_gain",38299.924131827,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"315","east_extwalls_lwinternal_gain",10630.6508861752,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"316","none_roof_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"317","none_floor_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"318","none_intwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"319","south_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"320","north_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"321","west_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"322","east_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_vn_nbr_1.csv"
"323","none_roof_lwsurfaces_gain",146254.854165208,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"324","none_floor_lwsurfaces_gain",954260.031365194,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"325","none_intwalls_lwsurfaces_gain",274100.417130458,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"326","south_extwalls_lwsurfaces_gain",447090.52642025,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"327","north_extwalls_lwsurfaces_gain",128454.30484218,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"328","west_extwalls_lwsurfaces_gain",420205.703274487,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"329","east_extwalls_lwsurfaces_gain",109719.650025002,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"330","none_roof_lwsurfaces_loss",-1097644.86352151,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"331","none_floor_lwsurfaces_loss",-618696.376531251,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"332","none_intwalls_lwsurfaces_loss",-586071.236223125,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"333","south_extwalls_lwsurfaces_loss",-8190.04898441869,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"334","north_extwalls_lwsurfaces_loss",-147982.567616967,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"335","west_extwalls_lwsurfaces_loss",-357988.572970833,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
"336","east_extwalls_lwsurfaces_loss",-95482.9086334502,"LW. Surfaces","U001_Caso01_1a7_vn_nbr_1.csv"
