"","gains_losses","value","flux","case","city","app","case_graph","gains","exchange","sum","per"
"37","none_floor_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1389931.24395718,0
"38","none_intwalls_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1705700.22197374,0
"39","south_extwalls_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-493473.702518639,0
"40","east_extwalls_swlights_loss",0,"swlights","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1225353.49691617,0
"41","none_roof_lwinternal_gain",32114.293039727,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof",1136070.27325989,0.0283
"42","none_floor_lwinternal_gain",32114.293039727,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor",1389932.37145859,0.0231
"43","none_intwalls_lwinternal_gain",54157.6262251617,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1705703.06843469,0.0318
"44","south_extwalls_lwinternal_gain",18429.9218490852,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",493474.344832293,0.0373
"45","east_extwalls_lwinternal_gain",29301.3622625247,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1225352.7884016,0.0239
"46","none_roof_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1136068.44861435,0
"47","none_floor_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1389931.24395718,0
"48","none_intwalls_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1705700.22197374,0
"49","south_extwalls_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-493473.702518639,0
"50","east_extwalls_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1225353.49691617,0
"51","none_roof_lwsurfaces_gain",57935.6199923678,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof",1136070.27325989,0.051
"52","none_floor_lwsurfaces_gain",404805.355010295,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor",1389932.37145859,0.2912
"53","none_intwalls_lwsurfaces_gain",573533.527068783,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1705703.06843469,0.3362
"54","south_extwalls_lwsurfaces_gain",263708.108688615,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",493474.344832293,0.5344
"55","east_extwalls_lwsurfaces_gain",180727.058737777,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1225352.7884016,0.1475
"56","none_roof_lwsurfaces_loss",-645286.893949523,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1136068.44861435,0.568
"57","none_floor_lwsurfaces_loss",-215552.482439399,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1389931.24395718,0.1551
"58","none_intwalls_lwsurfaces_loss",-80971.7045194947,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1705700.22197374,0.0475
"59","south_extwalls_lwsurfaces_loss",-75323.077729926,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-493473.702518639,0.1526
