"","date_graph","time","month","day","gains_losses","value","flux","case"
"43",2019-10-02 18:00:00,19,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"44",2019-10-02 19:00:00,20,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"45",2019-10-02 20:00:00,21,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"46",2019-10-02 21:00:00,22,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"47",2019-10-02 22:00:00,23,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"48",2019-10-02 23:00:00,24,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"49",2019-10-01 00:00:00,1,10,1,"none_floor_convection_gain",15.4016561477456,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"50",2019-10-01 01:00:00,2,10,1,"none_floor_convection_gain",8.46685241192587,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"51",2019-10-01 02:00:00,3,10,1,"none_floor_convection_gain",3.32957110595755,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"52",2019-10-01 03:00:00,4,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"53",2019-10-01 04:00:00,5,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"54",2019-10-01 05:00:00,6,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"55",2019-10-01 06:00:00,7,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"56",2019-10-01 07:00:00,8,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"57",2019-10-01 08:00:00,9,10,1,"none_floor_convection_gain",1.79341317449002,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"58",2019-10-01 09:00:00,10,10,1,"none_floor_convection_gain",20.6673592214028,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"59",2019-10-01 10:00:00,11,10,1,"none_floor_convection_gain",40.944960493555,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
