"","date_graph","time","month","day","gains_losses","value","flux","case"
"42",2019-11-24 17:00:00,18,11,24,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"43",2019-11-24 18:00:00,19,11,24,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"44",2019-11-24 19:00:00,20,11,24,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"45",2019-11-24 20:00:00,21,11,24,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"46",2019-11-24 21:00:00,22,11,24,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"47",2019-11-24 22:00:00,23,11,24,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"48",2019-11-24 23:00:00,24,11,24,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"49",2019-11-23 00:00:00,1,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"50",2019-11-23 01:00:00,2,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"51",2019-11-23 02:00:00,3,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"52",2019-11-23 03:00:00,4,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"53",2019-11-23 04:00:00,5,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"54",2019-11-23 05:00:00,6,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"55",2019-11-23 06:00:00,7,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"56",2019-11-23 07:00:00,8,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"57",2019-11-23 08:00:00,9,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"58",2019-11-23 09:00:00,10,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"59",2019-11-23 10:00:00,11,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"60",2019-11-23 11:00:00,12,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"61",2019-11-23 12:00:00,13,11,23,"none_floor_convection_gain",0.18876307918652,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"62",2019-11-23 13:00:00,14,11,23,"none_floor_convection_gain",4.2249667228295,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"63",2019-11-23 14:00:00,15,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"64",2019-11-23 15:00:00,16,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"65",2019-11-23 16:00:00,17,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"66",2019-11-23 17:00:00,18,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"67",2019-11-23 18:00:00,19,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"68",2019-11-23 19:00:00,20,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"69",2019-11-23 20:00:00,21,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"70",2019-11-23 21:00:00,22,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"71",2019-11-23 22:00:00,23,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"72",2019-11-23 23:00:00,24,11,23,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"73",2019-11-24 00:00:00,1,11,24,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"74",2019-11-24 01:00:00,2,11,24,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"75",2019-11-24 02:00:00,3,11,24,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"76",2019-11-24 03:00:00,4,11,24,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"77",2019-11-24 04:00:00,5,11,24,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"78",2019-11-24 05:00:00,6,11,24,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
