"","gains_losses","value","case","city","app","case_graph","gains","exchange","per"
"38","vn_interzone_gain",54650.6265692874,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","vn_interzone",0.0179
"39","none_roof_convection_gain",388184.815815153,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","roof",0.1257
"40","none_floor_convection_gain",627453.060500022,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","floor",0.2032
"41","none_intwalls_convection_gain",803485.208958217,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","intwalls",0.2602
"42","south_extwalls_convection_gain",227049.157514855,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","south_extwalls",0.0735
"43","east_extwalls_convection_gain",550035.817957744,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","east_extwalls",0.1781
"44","south_windows_convection_gain",32861.9626587268,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","south_windows",0.0106
"45","none_roof_convection_loss",-4286.37235693826,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","roof",0.0014
"46","none_floor_convection_loss",-34775.8992901219,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","floor",0.0113
"47","none_intwalls_convection_loss",-89426.3010301454,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","intwalls",0.0292
"48","south_extwalls_convection_loss",-20720.4393724157,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","south_extwalls",0.0068
"49","east_extwalls_convection_loss",-225.785144241164,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","east_extwalls",1e-04
"50","south_windows_convection_loss",-27199.2734936581,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","south_windows",0.0089
"51","internal_gains",382583.222019262,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","internal_gains",0.1239
"52","cooling",-2753719.18656579,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","cooling",0.8977
"53","heating",0,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","heating",0
"54","vn_window_loss",-2279.66000137757,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","vn_window",7e-04
"55","vn_window_gain",2302.07585873174,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","vn_window",7e-04
"56","vn_interzone_loss",-134887.585662931,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","vn_interzone",0.044
"57","vn_interzone_gain",73593.409263327,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","vn_interzone",0.0238
"58","none_roof_convection_gain",163198.534324489,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","roof",0.119
"59","none_floor_convection_gain",209466.721601092,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","floor",0.1527
"60","none_intwalls_convection_gain",308298.846065945,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","intwalls",0.2248
"61","south_extwalls_convection_gain",33816.9383389216,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","south_extwalls",0.0247
"62","east_extwalls_convection_gain",212308.814367809,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","east_extwalls",0.1548
"63","south_windows_convection_gain",6.59577629023287,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","south_windows",0
"64","none_roof_convection_loss",-3869.00514727858,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","loss","roof",0.0028
"65","none_floor_convection_loss",-17489.97524714,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","loss","floor",0.0127
"66","none_intwalls_convection_loss",-38482.9749972782,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","loss","intwalls",0.028
"67","south_extwalls_convection_loss",-31352.2921613128,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","loss","south_extwalls",0.0228
