"","gains_losses","value","case"
"60","none_roof_convection_loss",-38122.964278775,"U001_Caso01_1a7_hi_in1_1.csv"
"61","none_floor_convection_loss",-54700.896326411,"U001_Caso01_1a7_hi_in1_1.csv"
"62","none_intwalls_convection_loss",-64817.5279990571,"U001_Caso01_1a7_hi_in1_1.csv"
"63","south_extwalls_convection_loss",-85777.0135372345,"U001_Caso01_1a7_hi_in1_1.csv"
"64","north_extwalls_convection_loss",-22760.5354024647,"U001_Caso01_1a7_hi_in1_1.csv"
"65","west_extwalls_convection_loss",-94377.8924959853,"U001_Caso01_1a7_hi_in1_1.csv"
"66","east_extwalls_convection_loss",-18433.9970361137,"U001_Caso01_1a7_hi_in1_1.csv"
"67","south_windows_convection_loss",-68377.7704101996,"U001_Caso01_1a7_hi_in1_1.csv"
"68","west_windows_convection_loss",-54201.8078882488,"U001_Caso01_1a7_hi_in1_1.csv"
"69","internal_gains",808845.603775218,"U001_Caso01_1a7_hi_in1_1.csv"
"70","cooling",-2054285.40629869,"U001_Caso01_1a7_hi_in1_1.csv"
"71","heating",7421.25989772754,"U001_Caso01_1a7_hi_in1_1.csv"
"72","vn_window_loss",-835355.014380348,"U001_Caso01_1a7_hi_in1_1.csv"
"73","vn_window_gain",25579.3864674487,"U001_Caso01_1a7_hi_in1_1.csv"
"74","vn_interzone_loss",-190847.6241943,"U001_Caso01_1a7_hi_in1_1.csv"
"75","vn_interzone_gain",456215.056935028,"U001_Caso01_1a7_hi_in1_1.csv"
"76","none_roof_convection_gain",323307.483435092,"U001_Caso01_1a7_vn_nbr_1.csv"
"77","none_floor_convection_gain",359619.128979344,"U001_Caso01_1a7_vn_nbr_1.csv"
"78","none_intwalls_convection_gain",450835.541917983,"U001_Caso01_1a7_vn_nbr_1.csv"
"79","south_extwalls_convection_gain",43351.9304799594,"U001_Caso01_1a7_vn_nbr_1.csv"
"80","north_extwalls_convection_gain",77011.4040119992,"U001_Caso01_1a7_vn_nbr_1.csv"
"81","west_extwalls_convection_gain",230394.514314779,"U001_Caso01_1a7_vn_nbr_1.csv"
"82","east_extwalls_convection_gain",47590.8856258856,"U001_Caso01_1a7_vn_nbr_1.csv"
"83","south_windows_convection_gain",59.0308006723348,"U001_Caso01_1a7_vn_nbr_1.csv"
"84","west_windows_convection_gain",1991.49537746228,"U001_Caso01_1a7_vn_nbr_1.csv"
"85","none_roof_convection_loss",-33891.1998818637,"U001_Caso01_1a7_vn_nbr_1.csv"
"86","none_floor_convection_loss",-97757.5014574463,"U001_Caso01_1a7_vn_nbr_1.csv"
"87","none_intwalls_convection_loss",-81788.7293799684,"U001_Caso01_1a7_vn_nbr_1.csv"
"88","south_extwalls_convection_loss",-83664.6447288541,"U001_Caso01_1a7_vn_nbr_1.csv"
"89","north_extwalls_convection_loss",-19444.9218558766,"U001_Caso01_1a7_vn_nbr_1.csv"
"90","west_extwalls_convection_loss",-87176.7489174768,"U001_Caso01_1a7_vn_nbr_1.csv"
"91","east_extwalls_convection_loss",-15858.3632122668,"U001_Caso01_1a7_vn_nbr_1.csv"
"92","south_windows_convection_loss",-73172.6654527809,"U001_Caso01_1a7_vn_nbr_1.csv"
"93","west_windows_convection_loss",-56743.3904746097,"U001_Caso01_1a7_vn_nbr_1.csv"
"94","internal_gains",755761.226800146,"U001_Caso01_1a7_vn_nbr_1.csv"
"95","vn_window_loss",-2110190.86445847,"U001_Caso01_1a7_vn_nbr_1.csv"
"96","vn_window_gain",2825.10270337628,"U001_Caso01_1a7_vn_nbr_1.csv"
"97","vn_interzone_loss",-371351.113433429,"U001_Caso01_1a7_vn_nbr_1.csv"
"98","vn_interzone_gain",715498.702378136,"U001_Caso01_1a7_vn_nbr_1.csv"
