"","date_graph","time","month","day","gains_losses","value","case"
"46",2019-07-16 21:00:00,22,7,16,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"47",2019-07-16 22:00:00,23,7,16,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"48",2019-07-16 23:00:00,24,7,16,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"49",2019-07-15 00:00:00,1,7,15,"none_floor_convection_gain",34.6279083438216,"U001_Caso01_1a7_ac_in1_1.csv"
"50",2019-07-15 01:00:00,2,7,15,"none_floor_convection_gain",50.0953319355297,"U001_Caso01_1a7_ac_in1_1.csv"
"51",2019-07-15 02:00:00,3,7,15,"none_floor_convection_gain",66.8247733704781,"U001_Caso01_1a7_ac_in1_1.csv"
"52",2019-07-15 03:00:00,4,7,15,"none_floor_convection_gain",94.8561261800051,"U001_Caso01_1a7_ac_in1_1.csv"
"53",2019-07-15 04:00:00,5,7,15,"none_floor_convection_gain",118.711910888451,"U001_Caso01_1a7_ac_in1_1.csv"
"54",2019-07-15 05:00:00,6,7,15,"none_floor_convection_gain",132.216047366505,"U001_Caso01_1a7_ac_in1_1.csv"
"55",2019-07-15 06:00:00,7,7,15,"none_floor_convection_gain",144.146298357509,"U001_Caso01_1a7_ac_in1_1.csv"
"56",2019-07-15 07:00:00,8,7,15,"none_floor_convection_gain",152.196233683505,"U001_Caso01_1a7_ac_in1_1.csv"
"57",2019-07-15 08:00:00,9,7,15,"none_floor_convection_gain",120.279468676229,"U001_Caso01_1a7_ac_in1_1.csv"
"58",2019-07-15 09:00:00,10,7,15,"none_floor_convection_gain",106.280070347834,"U001_Caso01_1a7_ac_in1_1.csv"
"59",2019-07-15 10:00:00,11,7,15,"none_floor_convection_gain",72.3851408503811,"U001_Caso01_1a7_ac_in1_1.csv"
"60",2019-07-15 11:00:00,12,7,15,"none_floor_convection_gain",38.3604345222166,"U001_Caso01_1a7_ac_in1_1.csv"
"61",2019-07-15 12:00:00,13,7,15,"none_floor_convection_gain",11.5823051074961,"U001_Caso01_1a7_ac_in1_1.csv"
