"","month","gains_losses","value","case"
"55",7,"none_roof_convection_gain",3251.86625865267,"U001_Caso01_1a7_ac_in1_1.csv"
"56",7,"none_floor_convection_gain",13191.1602334865,"U001_Caso01_1a7_ac_in1_1.csv"
"57",7,"none_intwalls_convection_gain",14998.789731537,"U001_Caso01_1a7_ac_in1_1.csv"
"58",7,"south_extwalls_convection_gain",402.774069461005,"U001_Caso01_1a7_ac_in1_1.csv"
"59",7,"north_extwalls_convection_gain",9649.92328414649,"U001_Caso01_1a7_ac_in1_1.csv"
"60",7,"west_extwalls_convection_gain",7384.25666006214,"U001_Caso01_1a7_ac_in1_1.csv"
"61",7,"east_extwalls_convection_gain",397.39828917885,"U001_Caso01_1a7_ac_in1_1.csv"
"62",7,"south_windows_convection_gain",40.4020808581391,"U001_Caso01_1a7_ac_in1_1.csv"
"63",7,"west_windows_convection_gain",126.451147808245,"U001_Caso01_1a7_ac_in1_1.csv"
"64",8,"none_roof_convection_gain",11929.4103108762,"U001_Caso01_1a7_ac_in1_1.csv"
"65",8,"none_floor_convection_gain",17979.5326016687,"U001_Caso01_1a7_ac_in1_1.csv"
"66",8,"none_intwalls_convection_gain",23971.0817479996,"U001_Caso01_1a7_ac_in1_1.csv"
"67",8,"south_extwalls_convection_gain",2057.99377597854,"U001_Caso01_1a7_ac_in1_1.csv"
"68",8,"north_extwalls_convection_gain",10388.3345933264,"U001_Caso01_1a7_ac_in1_1.csv"
"69",8,"west_extwalls_convection_gain",16717.3615989611,"U001_Caso01_1a7_ac_in1_1.csv"
"70",8,"east_extwalls_convection_gain",1478.58308243871,"U001_Caso01_1a7_ac_in1_1.csv"
"71",8,"south_windows_convection_gain",333.966489691202,"U001_Caso01_1a7_ac_in1_1.csv"
"72",8,"west_windows_convection_gain",561.662476583534,"U001_Caso01_1a7_ac_in1_1.csv"
"73",9,"none_roof_convection_gain",28870.7648874735,"U001_Caso01_1a7_ac_in1_1.csv"
"74",9,"none_floor_convection_gain",17340.910755401,"U001_Caso01_1a7_ac_in1_1.csv"
"75",9,"none_intwalls_convection_gain",36221.9892146236,"U001_Caso01_1a7_ac_in1_1.csv"
"76",9,"south_extwalls_convection_gain",5477.59435044927,"U001_Caso01_1a7_ac_in1_1.csv"
"77",9,"north_extwalls_convection_gain",9374.17485724963,"U001_Caso01_1a7_ac_in1_1.csv"
"78",9,"west_extwalls_convection_gain",26291.459982449,"U001_Caso01_1a7_ac_in1_1.csv"
"79",9,"east_extwalls_convection_gain",4176.79580702203,"U001_Caso01_1a7_ac_in1_1.csv"
"80",9,"south_windows_convection_gain",721.72540607134,"U001_Caso01_1a7_ac_in1_1.csv"
"81",9,"west_windows_convection_gain",1029.77981055529,"U001_Caso01_1a7_ac_in1_1.csv"
"82",10,"none_roof_convection_gain",35771.9105166837,"U001_Caso01_1a7_ac_in1_1.csv"
"83",10,"none_floor_convection_gain",25651.2141807739,"U001_Caso01_1a7_ac_in1_1.csv"
"84",10,"none_intwalls_convection_gain",42123.0256466613,"U001_Caso01_1a7_ac_in1_1.csv"
"85",10,"south_extwalls_convection_gain",8099.15026383135,"U001_Caso01_1a7_ac_in1_1.csv"
"86",10,"north_extwalls_convection_gain",6235.99270545206,"U001_Caso01_1a7_ac_in1_1.csv"
"87",10,"west_extwalls_convection_gain",29063.9263613908,"U001_Caso01_1a7_ac_in1_1.csv"
"88",10,"east_extwalls_convection_gain",7324.48516430331,"U001_Caso01_1a7_ac_in1_1.csv"
"89",10,"south_windows_convection_gain",881.783381541516,"U001_Caso01_1a7_ac_in1_1.csv"
"90",10,"west_windows_convection_gain",1180.15906151083,"U001_Caso01_1a7_ac_in1_1.csv"
"91",11,"none_roof_convection_gain",50039.4453272405,"U001_Caso01_1a7_ac_in1_1.csv"
"92",11,"none_floor_convection_gain",29881.8563886886,"U001_Caso01_1a7_ac_in1_1.csv"
"93",11,"none_intwalls_convection_gain",51345.8379253527,"U001_Caso01_1a7_ac_in1_1.csv"
"94",11,"south_extwalls_convection_gain",13173.6099486884,"U001_Caso01_1a7_ac_in1_1.csv"
"95",11,"north_extwalls_convection_gain",5667.87569712437,"U001_Caso01_1a7_ac_in1_1.csv"
"96",11,"west_extwalls_convection_gain",37748.1067860468,"U001_Caso01_1a7_ac_in1_1.csv"
"97",11,"east_extwalls_convection_gain",10468.6618878305,"U001_Caso01_1a7_ac_in1_1.csv"
"98",11,"south_windows_convection_gain",1268.4544296041,"U001_Caso01_1a7_ac_in1_1.csv"
