"","month","gains_losses","value","case","city","app","case_graph","gains","exchange","MonthAbb","per"
"34",6,"south_extwalls_convection_gain",14927.490648422,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Jun",0.0608
"35",6,"east_extwalls_convection_gain",44040.1921045043,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Jun",0.1792
"36",6,"south_windows_convection_gain",2288.89310814318,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows","Jun",0.0093
"37",7,"none_roof_convection_gain",32580.5442804106,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Jul",0.1255
"38",7,"none_floor_convection_gain",54834.2106037606,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Jul",0.2111
"39",7,"none_intwalls_convection_gain",69830.7615015764,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Jul",0.2689
"40",7,"south_extwalls_convection_gain",15562.242929194,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Jul",0.0599
"41",7,"east_extwalls_convection_gain",46612.8270186565,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Jul",0.1795
"42",7,"south_windows_convection_gain",2436.94654012544,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows","Jul",0.0094
"43",8,"none_roof_convection_gain",35773.4404795919,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Aug",0.1285
"44",8,"none_floor_convection_gain",57640.8844833003,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Aug",0.207
"45",8,"none_intwalls_convection_gain",73860.5108873491,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Aug",0.2653
"46",8,"south_extwalls_convection_gain",16979.9127949363,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Aug",0.061
"47",8,"east_extwalls_convection_gain",53583.4172063691,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Aug",0.1924
"48",8,"south_windows_convection_gain",2551.31550087815,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows","Aug",0.0092
"49",9,"none_roof_convection_gain",36856.229096821,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Sep",0.1321
"50",9,"none_floor_convection_gain",56743.4089586355,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Sep",0.2034
"51",9,"none_intwalls_convection_gain",72715.3643672474,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Sep",0.2606
"52",9,"south_extwalls_convection_gain",17777.9827702411,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Sep",0.0637
"53",9,"east_extwalls_convection_gain",55033.7421726038,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Sep",0.1972
"54",9,"south_windows_convection_gain",2805.09891810968,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows","Sep",0.0101
"55",10,"none_roof_convection_gain",38466.8178923605,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Oct",0.1318
"56",10,"none_floor_convection_gain",59323.675369535,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Oct",0.2033
"57",10,"none_intwalls_convection_gain",75685.6292821733,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Oct",0.2594
"58",10,"south_extwalls_convection_gain",21105.975188464,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Oct",0.0723
"59",10,"east_extwalls_convection_gain",55829.8849673101,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Oct",0.1913
"60",10,"south_windows_convection_gain",3063.29878394008,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows","Oct",0.0105
"61",11,"none_roof_convection_gain",39144.9620789773,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Nov",0.1286
"62",11,"none_floor_convection_gain",60201.572291456,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Nov",0.1977
"63",11,"none_intwalls_convection_gain",79276.5970172688,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Nov",0.2604
"64",11,"south_extwalls_convection_gain",29516.46560826,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Nov",0.0969
"65",11,"east_extwalls_convection_gain",55043.9204131628,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Nov",0.1808
"66",11,"south_windows_convection_gain",3630.412415653,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows","Nov",0.0119
"67",12,"none_roof_convection_gain",36282.6128976067,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Dec",0.1242
"68",12,"none_floor_convection_gain",59709.8662240216,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Dec",0.2044
